entity_id,name,type,era,faction,first_appearance,medium,canon_status,description,your_take,your_rating,mood,visual_description,image_note
c_vader,Darth Vader,character,original,"Sith, Empire",A New Hope (1977),film,canon,"Sith Lord and second to Emperor Palpatine, formerly Anakin Skywalker. Central villain of the original trilogy and key antagonist across Rogue One and the Kenobi show.","The Rogue One hallway scene is the single best minute of Star Wars on film, hard to top. The elevator doors opening in ANH still hits. Terrifying when the films let him be.",10,"epic, tragic, cathartic","Towering figure in glossy black armor, full face-covering helmet with triangular eye slits, flowing black cape, red lightsaber. Mechanical breathing.",OT-era full-helmet portrait
c_luke,Luke Skywalker,character,original,Rebel Alliance,A New Hope (1977),film,canon,"Jedi Knight, son of Anakin Skywalker, protagonist of the original trilogy. Returns in the sequel trilogy and Mandalorian S2 finale.","The OT arc is perfect, farm boy to Jedi without losing that wide-eyed thing that made him work. The twist about Vader being his father was way ahead of its time. The sequels did him dirty but OT Luke is untouchable.",9,"epic, tragic","Blonde young man, blue or green lightsaber, typically in tan farmer's tunic or black Jedi robes by ROTJ.",ROTJ black-robe portrait preferred
c_leia,Princess Leia Organa,character,original,Rebel Alliance,A New Hope (1977),film,canon,"Princess of Alderaan, Rebel Alliance leader, twin sister of Luke Skywalker.","Carries half of OT on attitude alone. Hoth and Bespin Leia especially, she's the one actually leading while everyone else flails. The carbonite scene with Han is forever.",9,epic,"Brown-haired woman often in white robes with side hair-buns, or in Hoth winter gear, or the gold bikini on Tatooine.",ANH white-robe with hair buns
c_han,Han Solo,character,original,Rebel Alliance,A New Hope (1977),film,canon,"Smuggler, Captain of the Millennium Falcon, rebel general, husband of Leia.","Such a goat. The carbonite freeze and 'I know' is the most rewatched scene in my life. No notes, never had a single bad scene in OT.",10,"epic, cathartic, goofy","Dark-haired man in white shirt, black vest, and dark trousers with a blaster on his hip. Easy smirk, Corellian bloodstripe down the trouser leg.",ANH or ESB classic smirk
c_chewbacca,Chewbacca,character,original,Rebel Alliance,A New Hope (1977),"film, show",canon,"Wookiee co-pilot of the Millennium Falcon, Han Solo's lifelong partner, veteran of the Clone Wars and the Rebellion.","Han's first mate and somehow conveys more with roars than half the prequel cast with full dialogue. The carbonite scene, his grief when Han dies in TFA, he carries real weight without saying a word.",9,"epic, goofy","Tall furry brown Wookiee, leather bandolier across one shoulder with silver cartridge cylinders, bowcaster slung on his back, expressive dark eyes.",OT-era standing portrait with bowcaster
c_obiwan_pt,Obi-Wan Kenobi (prequel era),character,prequel,"Jedi Order, Galactic Republic",The Phantom Menace (1999),film,canon,"Jedi Master, Anakin Skywalker's mentor, member of the Jedi Council. Central to the prequel trilogy and Clone Wars.","'You were my brother, Anakin, I loved you' — that dialogue touched my heart so hard. Ewan's performance in ROTS is the best thing in the prequels by miles, and I cry every single time.",10,tragic,"Bearded man in tan and brown Jedi robes, blue lightsaber, getting more weathered film by film.",ROTS-era portrait with full beard
c_obiwan_ot,Obi-Wan Kenobi (Kenobi show / OT era),character,original,"Jedi Order, Rebel Alliance",A New Hope (1977),"film, show",canon,"Older Obi-Wan during the Empire's reign, hiding on Tatooine and watching over young Luke. Reappears in the Kenobi show and ANH.","The Vader rematch in the Kenobi show was too thrilling, exactly what I wanted from that pairing. Worth the whole show for that fight alone. 'Hello there' energy aged into grief.",9,"tragic, cathartic","Older man with a full graying beard, brown desert robes, more lined and tired than his prequel self.",Kenobi show portrait with graying beard
c_yoda,Yoda,character,prequel,Jedi Order,The Empire Strikes Back (1980),film,canon,"Grand Master of the Jedi Order, 900-year-old being of an unnamed species, mentor to generations of Jedi.","The Dagobah training stuff is sacred. Even when he's CGI in the prequels he commands the screen, and the puppet in Empire is somehow more emotionally present than half the human cast.",9,epic,"Small green humanoid with long pointed ears, wrinkled face, walking cane, brown robes. Green lightsaber.",ESB Dagobah puppet portrait
c_macewindu,Mace Windu,character,prequel,Jedi Order,The Phantom Menace (1999),film,canon,"Jedi Master, member of the Jedi Council, wielder of the only purple lightsaber. Central to the prequels until ROTS.","Wish I could see more of him. Purple lightsaber, attitude, takes down Palpatine almost single-handed — should have had his own arc. Samuel L. Jackson barely gets to cook.",9,epic,"Bald Black man with serious expression in dark Jedi robes, distinctive purple lightsaber blade.",AOTC or ROTS Council portrait
c_quigon,Qui-Gon Jinn,character,prequel,Jedi Order,The Phantom Menace (1999),film,canon,"Jedi Master, Obi-Wan's master, central to Episode I before his death at Maul's hand.","The one Jedi in the prequels who actually feels like a Jedi should — calm, principled, slightly off-script with the Council. His death sets the whole tragedy in motion.",9,tragic,"Tall man with long brown hair, full beard, green lightsaber, tan and brown Jedi robes more rugged than the standard Council cut.",TPM portrait with green lightsaber
c_ahsoka,Ahsoka Tano,character,clone_wars,"Jedi Order (former), Rebel Alliance",The Clone Wars (2008),"film, show",canon,"Anakin's former Padawan, central to Clone Wars and Rebels, later got her own live-action show.","Deserved better than her own show. Clone Wars and Rebels Ahsoka is one of the best things in the franchise. Ahsoka the show flattened her into something less interesting.",9,"tragic, epic","Togruta woman with white facial markings, blue-and-white striped lekku (head-tails), two white lightsabers. Older live-action version has graying lekku.",Rebels-era animated portrait preferred
c_anakin,Anakin Skywalker,character,prequel,Jedi Order,The Phantom Menace (1999),film,canon,"Chosen One, Jedi Knight, future Darth Vader. Protagonist of the prequel trilogy.","His fall in ROTS is the best 30 minutes of the saga. The third act of that movie is genuinely tragic in a way the rest of the prequels can't reach. 'From my point of view the Jedi are evil' is bad, the actual fall is devastating.",9,tragic,"Young man with shoulder-length brown hair (longer by ROTS), Jedi robes that get darker over the trilogy, blue lightsaber, distinctive scar over right eye by ROTS.",ROTS-era portrait with scar
c_padme,Padmé Amidala,character,prequel,Galactic Republic,The Phantom Menace (1999),film,canon,"Queen and later Senator of Naboo, secret wife of Anakin, mother of Luke and Leia.","Solid in Episode 1, criminally underwritten by ROTS. Dying of a broken heart is the worst thing they could have done with her — she had Senator-level political weight and they threw it away for plot reasons.",6,"tragic, political","Dark-haired young woman in extravagant Naboo royal regalia (white face paint and red robes) or elaborate senator gowns.",AOTC senator gown preferred
c_palpatine_pt_ot,Emperor Palpatine (Episodes 1-6),character,prequel,"Sith, Empire",The Phantom Menace (1999),film,canon,"Sith Lord Darth Sidious, manipulator behind the Clone Wars, Emperor of the Galactic Empire across episodes 1-6.","Episode 1 to 6 he's one of the best-written villains in any movie. The slow takeover, the opera scene, the throne room confrontation — all of it. Ian McDiarmid is having the time of his life and it shows.",10,"political, epic","Pale hooded man with deeply wrinkled face and pale yellow eyes in dark Sith robes. Earlier appearances show him as the apparently kindly Chancellor in dark blue senatorial robes.",ROTJ throne room hood-up portrait
